machine_id,timestamp,temperature_c,pressure_bar,voltage_mean_v,rotation_mean_rpm,pieces_produced
MACH-01,2025-06-01 00:00:00,45.44,194.302,227.57,1441.7,4
MACH-01,2025-06-01 01:00:00,47.87,194.391,227.48,1437.8,4
MACH-01,2025-06-01 02:00:00,50.46,195.641,228.68,1484.6,13
MACH-01,2025-06-01 03:00:00,48.62,197.737,228.44,1488.9,10
MACH-01,2025-06-01 04:00:00,51.09,196.253,227.84,1448.6,6
MACH-01,2025-06-01 05:00:00,49.51,196.01,227.5,1454.7,4
MACH-01,2025-06-01 06:00:00,48.84,194.647,227.65,1455.7,7
MACH-01,2025-06-01 07:00:00,49.4,196.068,226.89,1493.8,19
MACH-01,2025-06-01 08:00:00,47.78,196.358,226.05,1467.8,12
MACH-01,2025-06-01 09:00:00,45.8,195.147,225.11,1432.0,5
MACH-01,2025-06-01 10:00:00,45.88,194.22,227.03,1450.8,10
MACH-01,2025-06-01 11:00:00,44.08,194.387,225.83,1456.6,15
MACH-01,2025-06-01 12:00:00,42.43,193.386,225.49,1407.2,11
MACH-01,2025-06-01 13:00:00,41.87,194.178,225.83,1439.6,12
MACH-01,2025-06-01 14:00:00,38.69,194.484,225.24,1423.9,12
MACH-01,2025-06-01 15:00:00,39.48,192.658,225.01,1422.3,10
MACH-01,2025-06-01 16:00:00,38.03,192.26,225.5,1417.4,7
MACH-01,2025-06-01 17:00:00,38.36,192.356,225.52,1458.9,14
MACH-01,2025-06-01 18:00:00,39.56,193.378,225.8,1416.9,8
MACH-01,2025-06-01 19:00:00,40.85,193.908,225.8,1477.4,14
MACH-01,2025-06-01 20:00:00,40.6,191.968,226.05,1401.0,7
MACH-01,2025-06-01 21:00:00,43.38,192.587,225.9,1430.8,7
MACH-01,2025-06-01 22:00:00,43.37,192.821,225.41,1443.7,4
MACH-01,2025-06-01 23:00:00,46.59,194.332,226.38,1475.6,9
MACH-01,2025-06-02 00:00:00,48.37,194.96,227.65,1489.9,21
MACH-01,2025-06-02 01:00:00,48.92,195.651,227.47,1501.0,25
MACH-01,2025-06-02 02:00:00,49.72,197.32,228.11,1493.1,24
MACH-01,2025-06-02 03:00:00,50.07,196.571,228.38,1484.7,21
MACH-01,2025-06-02 04:00:00,51.49,198.487,229.65,1481.5,23
MACH-01,2025-06-02 05:00:00,54.24,197.308,228.9,1516.6,44
MACH-01,2025-06-02 06:00:00,54.41,198.931,228.6,1519.5,49
MACH-01,2025-06-02 07:00:00,53.49,197.713,228.67,1536.2,49
MACH-01,2025-06-02 08:00:00,51.56,197.094,226.96,1508.6,47
MACH-01,2025-06-02 09:00:00,50.74,196.538,228.62,1518.6,45
MACH-01,2025-06-02 10:00:00,47.95,196.907,228.27,1494.9,45
MACH-01,2025-06-02 11:00:00,47.55,194.682,227.14,1539.3,50
MACH-01,2025-06-02 12:00:00,48.47,195.484,227.24,1519.1,55
MACH-01,2025-06-02 13:00:00,45.72,196.748,226.5,1488.8,40
MACH-01,2025-06-02 14:00:00,43.99,194.249,226.62,1473.6,37
MACH-01,2025-06-02 15:00:00,43.18,193.393,226.83,1459.5,43
MACH-01,2025-06-02 16:00:00,44.55,193.981,227.2,1480.8,48
MACH-01,2025-06-02 17:00:00,45.68,194.172,226.13,1503.6,53
MACH-01,2025-06-02 18:00:00,43.97,193.761,226.62,1494.7,48
MACH-01,2025-06-02 19:00:00,45.01,195.741,227.18,1511.8,48
MACH-01,2025-06-02 20:00:00,45.98,195.574,227.3,1495.6,45
